name,index,start,end
t_turn,19,66.11,67.407
p_stand,10,67.407,68.962
t_turn,19,68.962,71.209
t_turn,19,71.209,72.271
a_walk,4,72.271,75.282
t_turn,19,75.343,77.23100000000001
p_stand,10,77.23100000000001,78.866
t_turn,19,78.866,79.532
a_walk,4,79.548,84.713
p_stand,10,84.713,88.98
a_jump,2,88.98,91.975
p_stand,10,91.975,98.401
t_turn,19,98.401,99.042
a_walk,4,99.042,101.24
t_turn,19,101.268,102.588
a_walk,4,102.588,104.625
t_turn,19,104.636,105.476
p_stand,10,105.481,108.654
t_turn,19,108.665,109.906
a_walk,4,109.906,111.578
p_stand,10,111.578,121.244
t_turn,19,121.281,123.74
a_walk,4,123.749,126.856
p_stand,10,126.856,129.466
t_turn,19,129.466,132.07
p_stand,10,132.07,141.636
p_bent,5,141.644,146.662
t_straighten,18,146.679,147.864
p_stand,10,147.86700000000002,153.934
t_stand_kneel,16,153.934,155.69
p_kneel,6,155.69799999999998,159.814
t_turn,19,159.814,161.045
p_kneel,6,161.045,163.63299999999998
t_kneel_stand,12,163.645,164.75799999999998
p_stand,10,164.75799999999998,167.699
t_turn,19,167.699,168.791
p_stand,10,168.791,169.00099999999998
t_turn,19,169.00099999999998,170.605
t_stand_sit,17,170.605,171.865
p_sit,8,171.865,177.13299999999998
t_sit_lie,14,177.13299999999998,180.873
p_lie,7,180.873,187.478
t_turn,19,187.478,191.137
p_lie,7,191.137,230.92
t_lie_sit,13,230.923,234.848
p_sit,8,234.848,243.99
t_sit_stand,15,243.999,245.241
p_stand,10,245.241,249.989
p_stand,10,250.006,255.232
t_bend,11,255.232,256.648
p_bent,5,256.648,260.805
p_stand,10,260.805,269.05
t_stand_sit,17,269.05,270.684
p_sit,8,270.684,279.107
t_sit_stand,15,279.107,280.701
p_stand,10,280.726,288.698
t_stand_sit,17,288.698,291.481
p_sit,8,291.481,295.224
t_sit_lie,14,295.224,301.008
p_lie,7,301.034,308.736
t_turn,19,308.736,312.087
p_lie,7,312.154,320.362
p_lie,7,320.362,329.955
t_lie_sit,13,329.955,332.305
p_sit,8,332.305,339.44
t_sit_stand,15,339.44,340.196
p_stand,10,340.196,350.372
t_bend,11,350.37800000000004,350.526
p_bent,5,350.526,354.63300000000004
t_straighten,18,354.63300000000004,355.68699999999995
p_stand,10,355.68699999999995,364.073
t_stand_sit,17,364.073,365.371
p_sit,8,365.38,372.081
t_sit_stand,15,372.081,373.02
p_stand,10,373.02,378.757
t_stand_sit,17,378.757,380.949
p_sit,8,380.949,385.932
t_sit_lie,14,385.962,389.935
p_lie,7,389.935,394.11800000000005
t_turn,19,394.155,395.92800000000005
p_lie,7,395.9380000000001,404.302
t_turn,19,404.358,406.585
p_lie,7,406.585,415.528
t_lie_sit,13,415.528,417.468
p_sit,8,417.468,424.536
t_sit_stand,15,424.536,426.149
p_stand,10,426.149,431.262
t_turn,19,431.262,432.159
p_stand,10,432.159,433.158
t_turn,19,433.158,433.884
t_bend,11,433.884,435.19
p_bent,5,435.19,439.974
t_straighten,18,439.974,440.593
p_stand,10,440.593,446.218
t_stand_sit,17,446.218,447.718
p_sit,8,447.718,452.786
t_turn,19,452.797,453.342
t_sit_stand,15,453.342,454.818
p_stand,10,454.818,458.818
t_turn,19,458.829,460.98800000000006
p_stand,10,460.98800000000006,461.203
t_turn,19,461.203,461.669
t_stand_sit,17,461.669,463.066
p_sit,8,463.066,469.871
t_sit_lie,14,469.871,471.575
p_lie,7,471.575,478.54
t_turn,19,478.54,480.028
p_lie,7,480.028,487.028
t_turn,19,487.039,488.846
p_lie,7,488.846,496.022
t_lie_sit,13,496.022,499.453
p_sit,8,499.453,501.893
t_sit_stand,15,501.893,502.995
p_stand,10,502.995,510.96
t_bend,11,510.96,513.437
p_bent,5,513.441,521.009
t_straighten,18,521.0319999999999,521.565
p_stand,10,521.565,531.439
t_stand_sit,17,531.439,533.382
p_sit,8,533.382,534.972
t_turn,19,534.972,536.271
p_sit,8,536.271,538.141
t_turn,19,538.141,538.756
t_sit_stand,15,538.756,539.82
p_stand,10,539.82,543.33
t_stand_sit,17,543.3430000000001,546.474
p_sit,8,546.474,551.818
t_sit_lie,14,551.842,554.924
p_lie,7,554.924,558.653
t_turn,19,558.653,559.8240000000001
p_lie,7,559.8240000000001,567.349
t_turn,19,567.365,568.577
p_lie,7,568.577,577.364
t_lie_sit,13,577.376,580.278
p_sit,8,580.294,584.212
t_sit_stand,15,584.212,585.785
p_stand,10,585.799,589.241
t_turn,19,589.241,590.322
p_stand,10,590.322,595.133
t_bend,11,595.133,595.773
p_bent,5,595.793,599.859
t_straighten,18,599.867,600.438
p_stand,10,600.438,604.462
t_stand_sit,17,604.462,606.003
p_sit,8,606.01,613.214
t_turn,19,613.214,613.64
p_sit,8,613.664,615.507
t_sit_stand,15,615.507,616.884
p_stand,10,616.891,618.629
t_turn,19,618.637,620.195
t_stand_sit,17,620.195,622.842
p_sit,8,622.842,630.661
t_sit_lie,14,630.677,631.955
p_lie,7,631.966,637.465
t_turn,19,637.465,639.006
p_lie,7,639.013,652.7919999999999
t_lie_sit,13,652.7919999999999,653.677
p_sit,8,653.692,655.184
t_turn,19,655.2,655.872
p_sit,8,655.888,660.6260000000001
t_sit_stand,15,660.6419999999999,661.937
p_stand,10,661.956,675.923
t_turn,19,675.923,677.743
p_stand,10,677.7589999999999,680.578
t_turn,19,680.578,681.988
