name,index,start,end
hall,3,66.086,73.851
living,5,73.851,693.9780000000001
hall,3,693.9780000000001,701.541
kitchen,4,701.541,1051.966
hall,3,1051.966,1059.819
living,5,1059.819,1324.154
hall,3,1324.154,1332.917
kitchen,4,1332.95,1415.655
stairs,6,1415.655,1431.261
bed2,2,1431.261,1782.3570000000002
toilet,8,1782.3570000000002,1854.187
stairs,6,1854.187,1863.983
bed1,1,1863.991,1898.442
stairs,6,1898.458,1907.506
bath,0,1907.506,2072.212
stairs,6,2072.228,2080.179
living,5,2080.179,2154.901
hall,3,2154.901,2159.982
