t,x,y,z
0.010856000000000001,0.96,-0.152,-0.08
0.060904,0.96,-0.14800000000000002,-0.08
0.110952,0.966,-0.16,-0.07200000000000001
0.161,0.956,-0.154,-0.07400000000000001
0.210856,0.958,-0.17600000000000002,-0.084
0.26090399999999997,0.9620000000000001,-0.166,-0.07400000000000001
0.310952,0.93,-0.158,-0.066
0.361,0.96,-0.14400000000000002,-0.08
0.41085600000000005,0.9740000000000001,-0.16,-0.057999999999999996
0.460904,0.9620000000000001,-0.154,-0.068
0.5109520000000001,0.958,-0.154,-0.055999999999999994
0.561,0.946,-0.146,-0.08
0.6108560000000001,0.9279999999999999,-0.16,-0.08199999999999999
0.660904,0.9520000000000001,-0.16399999999999998,-0.07400000000000001
0.710952,0.96,-0.162,-0.07200000000000001
0.7609999999999999,0.956,-0.154,-0.064
0.810856,0.96,-0.16,-0.07400000000000001
0.8609040000000001,0.96,-0.158,-0.08199999999999999
0.9109520000000001,0.958,-0.16,-0.078
0.961,0.96,-0.152,-0.08800000000000001
1.0118559999999999,0.958,-0.156,-0.066
1.0619040000000002,0.966,-0.14800000000000002,-0.084
1.111952,0.9620000000000001,-0.154,-0.062
1.162,0.958,-0.156,-0.08
1.211856,0.96,-0.152,-0.068
1.2619040000000001,0.9520000000000001,-0.162,-0.07200000000000001
1.311952,0.972,-0.168,-0.068
1.3619999999999999,0.958,-0.16,-0.064
1.411856,0.9520000000000001,-0.16,-0.08199999999999999
1.461904,0.966,-0.154,-0.07400000000000001
1.511952,0.95,-0.152,-0.07200000000000001
1.5619999999999998,0.972,-0.152,-0.07200000000000001
1.611856,0.9620000000000001,-0.16,-0.064
1.661904,0.968,-0.152,-0.057999999999999996
1.7119520000000001,0.9520000000000001,-0.154,-0.07400000000000001
1.7619999999999998,0.9520000000000001,-0.152,-0.08
1.8118560000000001,0.9520000000000001,-0.154,-0.078
1.861904,0.96,-0.16,-0.08
1.911952,0.946,-0.154,-0.07200000000000001
1.962,0.96,-0.16,-0.08
2.012856,0.934,-0.174,-0.07400000000000001
