name,index,start,end
t_turn,19,66.0,69.7
p_stand,10,69.72,72.62
a_walk,4,72.64,75.89
p_stand,10,75.91,76.32
t_turn,19,76.33,79.68
a_walk,4,79.693,84.884
p_stand,10,84.906,89.05
a_jump,2,89.081,90.245
a_jump,2,90.258,91.122
p_stand,10,91.149,98.603
t_turn,19,98.62,99.257
a_walk,4,99.278,101.151
t_turn,19,101.173,101.845
a_walk,4,101.859,105.277
p_stand,10,105.308,109.208
t_turn,19,109.226,109.744
a_walk,4,109.753,111.507
p_stand,10,111.534,121.215
t_turn,19,121.233,123.242
a_walk,4,123.268,126.232
p_stand,10,126.244,130.189
t_turn,19,130.207,132.107
a_walk,4,132.125,132.779
p_stand,10,132.783,140.536
t_bend,11,140.548,141.639
p_bent,5,141.64700000000002,146.80200000000002
t_straighten,18,146.819,148.11
p_stand,10,148.136,154.463
t_stand_sit,17,154.49,157.836
p_sit,8,157.858,162.685
t_sit_stand,15,162.69299999999998,164.73
p_stand,10,164.74200000000002,167.815
t_turn,19,167.828,170.19099999999997
t_stand_sit,17,170.204,171.90400000000002
p_sit,8,171.91299999999998,176.07
t_sit_lie,14,176.095,179.797
p_lie,7,179.82299999999998,187.179
t_turn,19,187.196,189.89
p_lie,7,189.911,231.683
t_lie_sit,13,231.71,235.001
p_sit,8,235.027,243.79
t_sit_stand,15,243.814,245.341
p_stand,10,245.372,255.717
t_bend,11,255.762,256.899
p_bent,5,256.916,260.855
t_straighten,18,260.888,261.615
p_stand,10,261.645,268.644
t_stand_sit,17,268.67,270.47
p_sit,8,270.483,278.536
t_sit_stand,15,278.546,280.209
p_stand,10,280.225,288.956
t_stand_sit,17,288.974,291.874
p_sit,8,291.901,297.99
t_sit_lie,14,298.016,301.166
p_lie,7,301.197,308.422
t_turn,19,308.428,310.391
p_lie,7,310.41700000000003,319.406
t_turn,19,319.41200000000003,321.175
p_lie,7,321.19,329.834
t_lie_sit,13,329.858,331.785
p_sit,8,331.80800000000005,338.43300000000005
t_sit_stand,15,338.465,340.247
p_stand,10,340.281,349.357
t_bend,11,349.38,350.635
p_bent,5,350.661,354.765
t_straighten,18,354.783,355.847
p_stand,10,355.87800000000004,363.881
t_stand_kneel,16,363.886,366.086
p_kneel,6,366.117,371.30300000000005
t_kneel_stand,12,371.327,372.89
p_stand,10,372.916,379.09
t_stand_sit,17,379.102,380.834
p_sit,8,380.894,385.557
t_sit_lie,14,385.5630000000001,388.907
p_lie,7,388.947,395.638
t_turn,19,395.647,396.911
p_lie,7,396.92800000000005,404.626
t_turn,19,404.636,406.172
p_lie,7,406.189,415.284
t_lie_sit,13,415.298,417.898
p_sit,8,417.924,423.452
t_sit_stand,15,423.452,425.192
p_stand,10,425.22,434.487
t_bend,11,434.501,437.555
p_bent,5,437.573,439.99
t_straighten,18,439.995,440.85
p_stand,10,440.89,445.93
t_stand_kneel,16,445.954,448.372
p_kneel,6,448.388,452.644
t_kneel_stand,12,452.654,454.809
p_stand,10,454.835,459.509
t_turn,19,459.512,461.585
t_stand_sit,17,461.607,462.87
p_sit,8,462.888,470.081
t_sit_lie,14,470.083,473.18
p_lie,7,473.203,480.2480000000001
t_turn,19,480.271,481.307
p_lie,7,481.333,487.886
t_turn,19,487.886,489.437
p_lie,7,489.459,496.297
t_lie_sit,13,496.3080000000001,498.508
p_sit,8,498.53,501.619
t_sit_stand,15,501.633,503.251
p_stand,10,503.259,511.802
t_bend,11,511.8080000000001,513.953
p_bent,5,513.974,520.673
t_straighten,18,520.683,521.91
p_stand,10,521.944,531.594
t_stand_sit,17,531.596,533.35
p_squat,9,533.377,538.531
t_sit_stand,15,538.5319999999999,539.7769999999999
p_stand,10,539.789,544.619
t_stand_sit,17,544.624,546.5880000000001
p_sit,8,546.609,552.484
t_sit_lie,14,552.49,555.4169999999999
p_lie,7,555.42,558.687
t_turn,19,558.687,560.933
p_lie,7,560.96,567.181
t_turn,19,567.187,568.714
p_lie,7,568.731,577.216
t_lie_sit,13,577.226,580.1619999999999
p_sit,8,580.179,584.01
t_sit_stand,15,584.024,585.37
p_stand,10,585.378,594.672
t_bend,11,594.677,595.95
p_bent,5,595.98,599.57
t_straighten,18,599.5980000000001,600.516
p_stand,10,600.538,605.028
t_stand_kneel,16,605.0509999999999,606.816
p_kneel,6,606.837,614.831
t_kneel_stand,12,614.85,616.168
p_stand,10,616.207,618.938
t_turn,19,618.952,620.006
t_stand_sit,17,620.023,622.832
p_sit,8,622.8580000000001,629.143
t_sit_lie,14,629.153,632.544
p_lie,7,632.5740000000001,637.247
t_turn,19,637.247,638.84
p_lie,7,638.865,644.0169999999999
t_turn,19,644.0269999999999,645.418
p_lie,7,645.439,652.5830000000001
t_lie_sit,13,652.597,655.615
p_sit,8,655.623,661.046
t_sit_stand,15,661.068,662.07
p_stand,10,662.086,675.592
t_turn,19,675.6080000000001,678.115
p_stand,10,678.128,680.444
t_turn,19,680.444,681.3860000000001
p_stand,10,681.416,686.94
t_turn,19,686.954,688.6260000000001
a_walk,4,688.648,691.212
p_stand,10,691.2289999999999,693.7639999999999
a_walk,4,693.7769999999999,695.2130000000001
t_turn,19,695.2539999999999,696.7719999999999
p_stand,10,696.79,698.563
a_walk,4,698.571,702.345
a_descend,1,702.365,705.6560000000001
a_walk,4,705.681,708.677
t_turn,19,708.698,710.962
a_walk,4,711.007,712.56
t_turn,19,712.578,717.57
p_stand,10,717.586,722.041
t_turn,19,722.072,724.572
a_walk,4,724.59,726.2260000000001
p_stand,10,726.252,727.998
